# ratings of documents by expert and novice judges
"ID" "annID" "docID" "round" "presentation.order" "rating" "ranking" "Naive.Expert"
"281" "subj66" "doc397" 29 1 2 10 "expert"
"282" "subj66" "doc463" 29 2 4 3 "expert"
"283" "subj66" "doc478" 29 3 3 6 "expert"
"284" "subj66" "doc418" 29 4 4 2 "expert"
"285" "subj66" "doc183" 29 5 3 8 "expert"
"286" "subj66" "doc274" 29 6 3 7 "expert"
"287" "subj66" "doc262" 29 7 3 9 "expert"
"288" "subj66" "doc294" 29 8 4 4 "expert"
"289" "subj66" "doc248" 29 9 4 1 "expert"
"290" "subj66" "doc066" 29 10 4 5 "expert"
"291" "subj66" "doc133" 30 1 3 5 "expert"
"292" "subj66" "doc385" 30 2 3 9 "expert"
"293" "subj66" "doc212" 30 3 4 3 "expert"
"294" "subj66" "doc358" 30 4 4 4 "expert"
"295" "subj66" "doc318" 30 5 5 1 "expert"
"296" "subj66" "doc137" 30 6 5 2 "expert"
"297" "subj66" "doc440" 30 7 3 8 "expert"
"298" "subj66" "doc383" 30 8 3 7 "expert"
"299" "subj66" "doc539" 30 9 4 6 "expert"
"300" "subj66" "doc280" 30 10 1 10 "expert"
"301" "subj66" "doc537" 31 1 4 3 "expert"
"302" "subj66" "doc242" 31 2 4 5 "expert"
"303" "subj66" "doc033" 31 3 3 7 "expert"
"304" "subj66" "doc494" 31 4 2 10 "expert"
"305" "subj66" "doc266" 31 5 3 9 "expert"
"306" "subj66" "doc106" 31 6 3 8 "expert"
"307" "subj66" "doc098" 31 7 4 4 "expert"
"308" "subj66" "doc270" 31 8 3 6 "expert"
"309" "subj66" "doc520" 31 9 5 1 "expert"
"310" "subj66" "doc227" 31 10 5 2 "expert"
"311" "subj66" "doc240" 32 1 4 4 "expert"
"312" "subj66" "doc102" 32 2 3 10 "expert"
"313" "subj66" "doc173" 32 3 2 9 "expert"
"314" "subj66" "doc122" 32 4 3 5 "expert"
"315" "subj66" "doc295" 32 5 3 6 "expert"
"316" "subj66" "doc155" 32 6 5 2 "expert"
"317" "subj66" "doc020" 32 7 5 1 "expert"
"318" "subj66" "doc491" 32 8 2 7 "expert"
"319" "subj66" "doc172" 32 9 3 8 "expert"
"320" "subj66" "doc110" 32 10 4 3 "expert"
"321" "subj66" "doc146" 33 1 4 5 "expert"
"322" "subj66" "doc236" 33 2 5 2 "expert"
"323" "subj66" "doc419" 33 3 3 10 "expert"
"324" "subj66" "doc216" 33 4 4 7 "expert"
"325" "subj66" "doc389" 33 5 5 3 "expert"
"326" "subj66" "doc186" 33 6 4 4 "expert"
"327" "subj66" "doc136" 33 7 4 8 "expert"
"328" "subj66" "doc331" 33 8 5 1 "expert"
"329" "subj66" "doc159" 33 9 4 9 "expert"
"330" "subj66" "doc037" 33 10 4 6 "expert"
"331" "subj66" "doc534" 34 1 3 6 "expert"
"332" "subj66" "doc415" 34 2 4 3 "expert"
"333" "subj66" "doc253" 34 3 3 10 "expert"
"334" "subj66" "doc187" 34 4 4 5 "expert"
"335" "subj66" "doc469" 34 5 5 1 "expert"
"336" "subj66" "doc007" 34 6 3 9 "expert"
"337" "subj66" "doc178" 34 7 3 7 "expert"
"338" "subj66" "doc103" 34 8 4 4 "expert"
"339" "subj66" "doc084" 34 9 3 8 "expert"
"340" "subj66" "doc346" 34 10 5 2 "expert"
"341" "subj66" "doc083" 35 1 5 1 "expert"
"342" "subj66" "doc445" 35 2 3 8 "expert"
"343" "subj66" "doc204" 35 3 5 2 "expert"
"344" "subj66" "doc150" 35 4 4 5 "expert"
"345" "subj66" "doc523" 35 5 4 4 "expert"
"346" "subj66" "doc401" 35 6 4 3 "expert"
"347" "subj66" "doc308" 35 7 4 7 "expert"
"348" "subj66" "doc462" 35 8 2 9 "expert"
"349" "subj66" "doc072" 35 9 4 6 "expert"
"350" "subj66" "doc532" 35 10 2 10 "expert"
"351" "subj66" "doc334" 36 1 4 4 "expert"
"352" "subj66" "doc425" 36 2 4 1 "expert"
"353" "subj66" "doc289" 36 3 2 9 "expert"
"354" "subj66" "doc108" 36 4 4 3 "expert"
"355" "subj66" "doc157" 36 5 4 7 "expert"
"356" "subj66" "doc368" 36 6 2 10 "expert"
"357" "subj66" "doc024" 36 7 4 5 "expert"
"358" "subj66" "doc052" 36 8 4 2 "expert"
"359" "subj66" "doc228" 36 9 4 6 "expert"
"360" "subj66" "doc226" 36 10 3 8 "expert"
"361" "subj66" "doc063" 37 1 3 9 "expert"
"362" "subj66" "doc306" 37 2 4 4 "expert"
"363" "subj66" "doc090" 37 3 4 7 "expert"
"364" "subj66" "doc017" 37 4 5 1 "expert"
"365" "subj66" "doc042" 37 5 3 8 "expert"
"366" "subj66" "doc343" 37 6 4 5 "expert"
"367" "subj66" "doc161" 37 7 3 10 "expert"
"368" "subj66" "doc225" 37 8 4 6 "expert"
"369" "subj66" "doc224" 37 9 5 2 "expert"
"370" "subj66" "doc166" 37 10 4 3 "expert"
"371" "subj66" "doc276" 38 1 2 10 "expert"
"372" "subj66" "doc526" 38 2 4 3 "expert"
"373" "subj66" "doc184" 38 3 3 7 "expert"
"374" "subj66" "doc002" 38 4 4 5 "expert"
"375" "subj66" "doc458" 38 5 4 4 "expert"
"376" "subj66" "doc197" 38 6 4 6 "expert"
"377" "subj66" "doc450" 38 7 3 8 "expert"
"378" "subj66" "doc071" 38 8 3 9 "expert"
"379" "subj66" "doc094" 38 9 5 1 "expert"
"380" "subj66" "doc145" 38 10 4 2 "expert"
"381" "subj66" "doc452" 39 1 4 5 "expert"
"382" "subj66" "doc332" 39 2 2 10 "expert"
"383" "subj66" "doc271" 39 3 2 9 "expert"
"384" "subj66" "doc123" 39 4 4 6 "expert"
"385" "subj66" "doc406" 39 5 4 4 "expert"
"386" "subj66" "doc011" 39 6 3 8 "expert"
"387" "subj66" "doc403" 39 7 4 3 "expert"
"388" "subj66" "doc070" 39 8 4 2 "expert"
"389" "subj66" "doc200" 39 9 5 1 "expert"
"390" "subj66" "doc246" 39 10 3 7 "expert"
"391" "subj66" "doc500" 40 1 3 7 "expert"
"392" "subj66" "doc129" 40 2 2 10 "expert"
"393" "subj66" "doc328" 40 3 3 8 "expert"
"394" "subj66" "doc089" 40 4 4 5 "expert"
"395" "subj66" "doc130" 40 5 5 3 "expert"
"396" "subj66" "doc498" 40 6 5 4 "expert"
"397" "subj66" "doc375" 40 7 4 6 "expert"
"398" "subj66" "doc044" 40 8 3 9 "expert"
"399" "subj66" "doc134" 40 9 5 1 "expert"
"400" "subj66" "doc475" 40 10 5 2 "expert"
"401" "subj66" "doc215" 41 1 5 3 "expert"
"402" "subj66" "doc393" 41 2 4 7 "expert"
"403" "subj66" "doc396" 41 3 3 10 "expert"
"404" "subj66" "doc355" 41 4 4 9 "expert"
"405" "subj66" "doc261" 41 5 5 1 "expert"
"406" "subj66" "doc457" 41 6 5 4 "expert"
"407" "subj66" "doc435" 41 7 4 8 "expert"
"408" "subj66" "doc152" 41 8 5 2 "expert"
"409" "subj66" "doc213" 41 9 5 6 "expert"
"410" "subj66" "doc367" 41 10 5 5 "expert"
"411" "subj66" "doc067" 42 1 3 6 "expert"
"412" "subj66" "doc120" 42 2 3 5 "expert"
"413" "subj66" "doc025" 42 3 3 7 "expert"
"414" "subj66" "doc153" 42 4 4 3 "expert"
"415" "subj66" "doc329" 42 5 5 1 "expert"
"416" "subj66" "doc139" 42 6 4 2 "expert"
"417" "subj66" "doc179" 42 7 4 4 "expert"
"418" "subj66" "doc132" 42 8 1 10 "expert"
"419" "subj66" "doc021" 42 9 2 9 "expert"
"420" "subj66" "doc075" 42 10 3 8 "expert"
"421" "subj66" "doc232" 43 1 4 4 "expert"
"422" "subj66" "doc258" 43 2 4 3 "expert"
"423" "subj66" "doc335" 43 3 4 5 "expert"
"424" "subj66" "doc068" 43 4 3 6 "expert"
"425" "subj66" "doc222" 43 5 3 7 "expert"
"426" "subj66" "doc029" 43 6 2 10 "expert"
"427" "subj66" "doc073" 43 7 5 2 "expert"
"428" "subj66" "doc095" 43 8 3 9 "expert"
"429" "subj66" "doc320" 43 9 5 1 "expert"
"430" "subj66" "doc124" 43 10 3 8 "expert"
"431" "subj66" "doc304" 44 1 5 2 "expert"
"432" "subj66" "doc423" 44 2 5 4 "expert"
"433" "subj66" "doc165" 44 3 3 5 "expert"
"434" "subj66" "doc288" 44 4 4 3 "expert"
"435" "subj66" "doc359" 44 5 2 9 "expert"
"436" "subj66" "doc257" 44 6 1 10 "expert"
"437" "subj66" "doc441" 44 7 3 6 "expert"
"438" "subj66" "doc251" 44 8 3 7 "expert"
"439" "subj66" "doc339" 44 9 3 8 "expert"
"440" "subj66" "doc034" 44 10 5 1 "expert"
"441" "subj66" "doc474" 45 1 3 6 "expert"
"442" "subj66" "doc035" 45 2 3 7 "expert"
"443" "subj66" "doc317" 45 3 4 5 "expert"
"444" "subj66" "doc147" 45 4 4 4 "expert"
"445" "subj66" "doc430" 45 5 4 1 "expert"
"446" "subj66" "doc282" 45 6 3 8 "expert"
"447" "subj66" "doc454" 45 7 2 10 "expert"
"448" "subj66" "doc515" 45 8 4 3 "expert"
"449" "subj66" "doc163" 45 9 4 2 "expert"
"450" "subj66" "doc427" 45 10 3 9 "expert"
"451" "subj66" "doc198" 46 1 5 2 "expert"
"452" "subj66" "doc374" 46 2 3 8 "expert"
"453" "subj66" "doc077" 46 3 4 5 "expert"
"454" "subj66" "doc181" 46 4 5 1 "expert"
"455" "subj66" "doc283" 46 5 4 4 "expert"
"456" "subj66" "doc381" 46 6 4 6 "expert"
"457" "subj66" "doc138" 46 7 4 3 "expert"
"458" "subj66" "doc505" 46 8 2 10 "expert"
"459" "subj66" "doc117" 46 9 2 9 "expert"
"460" "subj66" "doc354" 46 10 3 7 "expert"
"461" "subj66" "doc326" 47 1 5 1 "expert"
"462" "subj66" "doc010" 47 2 4 5 "expert"
"463" "subj66" "doc338" 47 3 4 7 "expert"
"464" "subj66" "doc466" 47 4 4 4 "expert"
"465" "subj66" "doc336" 47 5 5 2 "expert"
"466" "subj66" "doc323" 47 6 4 6 "expert"
"467" "subj66" "doc303" 47 7 4 9 "expert"
"468" "subj66" "doc158" 47 8 4 8 "expert"
"469" "subj66" "doc495" 47 9 3 10 "expert"
"470" "subj66" "doc201" 47 10 5 3 "expert"
"471" "subj66" "doc380" 48 1 3 8 "expert"
"472" "subj66" "doc391" 48 2 5 1 "expert"
"473" "subj66" "doc247" 48 3 5 2 "expert"
"474" "subj66" "doc099" 48 4 2 10 "expert"
"475" "subj66" "doc114" 48 5 4 3 "expert"
"476" "subj66" "doc486" 48 6 4 5 "expert"
"477" "subj66" "doc131" 48 7 4 6 "expert"
"478" "subj66" "doc431" 48 8 4 4 "expert"
"479" "subj66" "doc079" 48 9 3 7 "expert"
"480" "subj66" "doc278" 48 10 3 9 "expert"
"481" "subj66" "doc012" 49 1 5 2 "expert"
"482" "subj66" "doc203" 49 2 2 10 "expert"
"483" "subj66" "doc535" 49 3 3 7 "expert"
"484" "subj66" "doc392" 49 4 4 3 "expert"
"485" "subj66" "doc337" 49 5 5 1 "expert"
"486" "subj66" "doc455" 49 6 3 5 "expert"
"487" "subj66" "doc008" 49 7 3 6 "expert"
"488" "subj66" "doc223" 49 8 3 8 "expert"
"489" "subj66" "doc043" 49 9 2 9 "expert"
"490" "subj66" "doc056" 49 10 4 4 "expert"
"491" "subj66" "doc235" 50 1 3 8 "expert"
"492" "subj66" "doc399" 50 2 4 3 "expert"
"493" "subj66" "doc206" 50 3 5 5 "expert"
"494" "subj66" "doc404" 50 4 3 7 "expert"
"495" "subj66" "doc256" 50 5 3 6 "expert"
"496" "subj66" "doc009" 50 6 2 10 "expert"
"497" "subj66" "doc190" 50 7 5 1 "expert"
"498" "subj66" "doc175" 50 8 4 4 "expert"
"499" "subj66" "doc045" 50 9 5 2 "expert"
"500" "subj66" "doc364" 50 10 2 9 "expert"
"501" "subj66" "doc111" 51 1 3 8 "expert"
"502" "subj66" "doc069" 51 2 4 2 "expert"
"503" "subj66" "doc465" 51 3 4 5 "expert"
"504" "subj66" "doc105" 51 4 3 6 "expert"
"505" "subj66" "doc492" 51 5 4 3 "expert"
"506" "subj66" "doc116" 51 6 2 10 "expert"
"507" "subj66" "doc097" 51 7 4 4 "expert"
